Service_pk,Question,SQLQuery
CT_VDS_DT_DV_TH_HEALTHCARE,Tỷ lệ chênh lệch lũy kế Doanh thu dịch vụ Thu hộ y tế quý 2 năm 2024 và quý trước đó,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TT_TH,Tỷ lệ chênh lệch lũy kế giữa Doanh thu dịch vụ Thu hộ tháng 06/2024 và tháng trước đó,Select SPM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_WATER,Doanh thu dịch vụ Thu hộ nước của viettel từ ngày 01/06/2024 đến 30/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER'"
CT_VDS_DT_DV_TCS,Doanh thu dịch vụ Tài chính số tháng 6 năm 2024 là bao nhiêu?,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TCS'"
CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS,Chênh lệch lũy kế Doanh thu dịch vụ Thu hộ Vietlott SMS quý 2 năm 2024 và cùng kì quý năm trước,Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS' and PARTITION_DATE = '20240630'
CT_VDS_DT_TOTAL,Quý 2 năm 2024 Tổng doanh thu tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_CREDIT_SCORE,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Chấm điểm khách hàng tăng trưởng tháng bao nhiêu so với cùng kỳ tháng trước",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_CT,Doanh thu dịch vụ Chuyển tiền năm 2023,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CT' and PARTITION_DATE = '20231231'"
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Top 5 ngày có Doanh thu dịch vụ Thu hộ Dịch vụ công lớn nhất trong tháng 06/2024,"Select PARTITION_DATE, DAY_VALUE,SPD_PERCENT, SPDM_PERCENT From (Select PARTITION_DATE,  DAY_VALUE, SPD_PERCENT, SPDM_PERCENT, row_number() over (order by DAY_VALUE DESC) as RANK From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE >= '20240601' and PARTITION_DATE < '20240701') AS SUB where rank <= 5"
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Tỷ lệ chênh lệch lũy kế giữa Doanh thu dịch vụ Thu hộ Dịch vụ công tháng 06/2024 và tháng trước đó,Select SPM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TRAVELLING,Tỷ lệ chênh lệch Doanh thu dịch vụ Thu hộ Du lịch giữa ngày 20/06/2024 và ngày cùng kỳ tháng trước,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ SMS Banking tăng trưởng tháng bao nhiêu so với 20/06/2023",Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_ELECTRIC,Doanh thu dịch vụ Thu hộ điện của viettel từ ngày 01/06/2024 đến 30/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC'"
CT_VDS_DT_DV_TH_EDUCATION,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ Giáo dục tăng trưởng tháng bao nhiêu % so với 20/06/2023",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_EDUCATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_CREDIT_SCORE,Doanh thu dịch vụ Chấm điểm khách hàng năm 2024 tăng trưởng bao nhiêu % so với năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_TRANSPORTATION,Tháng có Doanh thu dịch vụ Thu hộ giao thông  lớn nhất trong năm 2024,"SELECT SUBSTR(PARTITION_DATE, 1, 6), MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT FROM (SELECT PARTITION_DATE, MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT, ROW_NUMBER() OVER (ORDER BY MONTH_VALUE DESC) AS rank FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' AND PARTITION_DATE = DATE_FORMAT(LAST_DAY(STR_TO_DATE(PARTITION_DATE, '%Y%m%d')), '%Y%m%d') AND PARTITION_DATE LIKE '2024%') AS ranked WHERE rank = 1;"
CT_VDS_DT_DV_TT,Tỷ lệ chênh lệch lũy kế tháng giữa Doanh thu dịch vụ Thanh toán tháng 06/2024 và cùng kỳ năm trước đó,Select SPMY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TT_BH_XS,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ Xổ số tăng trưởng bao nhiêu phần trăm so với ngày 20/05/2024,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS,Tỷ lệ chênh lệch Doanh thu dịch vụ Thu hộ Vietlott SMS giữa ngày 20/06/2024 và ngày cùng kỳ tháng trước,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS' and PARTITION_DATE = '20240620'
CT_VDS_DT_TOTAL,"Tháng 06/2024, Tổng doanh thu tăng trưởng bao nhiêu so với tháng 05/2024",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TRANSPORTATION,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng tháng bao nhiêu so với cùng kỳ tháng trước",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Tỷ lệ chênh lệch Doanh thu dịch vụ Thu hộ Dịch vụ công giữa ngày 20/06/2024 và ngày trước đó,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Năm 2024 Doanh thu dịch vụ Thu hộ Dịch vụ công tăng trưởng bao nhiêu % so với năm 2023,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TT_BH_XS,Tỷ lệ tăng trưởng Doanh thu dịch vụ Thu hộ Xổ số năm 2024 so với năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TCS,Doanh thu dịch vụ Tài chính số lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu so với cùng kỳ năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TCS' and PARTITION_DATE = '20240620'
CT_VDS_DT_TOTAL,Tỷ lệ chênh lệch Tổng doanh thu giữa ngày 20/06/2024 và ngày trước đó,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TOTAL,Dữ liệu Doanh thu dịch vụ bắt đầu từ ngày đến ngày nào,"select min(PARTITION_DATE) as start_date, max(PARTITION_DATE) as end_date
from CHATBOT_KTDL_TARGETS_REVENUE where service_pk = 'CT_VDS_DT_DV_TOTAL'"
CT_VDS_DT_DV_TCS,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Tài chính số tăng trưởng bao nhiêu % so với 20/03/2024",Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TCS' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_HEALTHCARE,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ y tế tăng trưởng bao nhiêu so với 20/03/2024",Select SPQ_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_KHAC,Dữ liệu Doanh thu dịch vụ khác bắt đầu từ ngày đến ngày nào,"select min(PARTITION_DATE) as start_date, max(PARTITION_DATE) as end_date
from CHATBOT_KTDL_TARGETS_REVENUE where service_pk = 'CT_VDS_DT_DV_KHAC'"
CT_VDS_DT_DV_TH_ECOMMERCE,Chênh lệch lũy kế Doanh thu dịch vụ Thu hộ Thương mại điện tử quý 2 năm 2024 và quý trước đó,Select SPQ_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ Dịch vụ công tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TRANSPORTATION,Doanh thu dịch vụ Thu hộ giao thông  lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu so với cùng kỳ năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_ELECTRIC,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ điện tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE = '20240630'
CT_VDS_DT_SMS_BANKING,Lũy kế tháng Doanh thu dịch vụ SMS Banking tính đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_SMS_BANKING'"
CT_VDS_DT_DV_TH_ECOMMERCE,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ Thương mại điện tử tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TRANSPORTATION,Chênh lệch lũy kế giữa Doanh thu dịch vụ Thu hộ giao thông  tháng 06/2024 và tháng trước đó,Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TC_BH,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm tăng trưởng tháng bao nhiêu so với 20/06/2023",Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TRAVELLING,"Tháng 06/2024, Doanh thu dịch vụ Thu hộ Du lịch tăng trưởng bao nhiêu so với tháng 05/2024",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_WATER,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ nước tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_CREDIT_SCORE,Lũy kế tháng Doanh thu dịch vụ Chấm điểm khách hàng tính đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE'"
CT_VDS_DT_DV_TH_TRANSPORTATION,"Tháng 06/2024, Doanh thu dịch vụ Thu hộ giao thông  là bao nhiêu","SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION'"
CT_VDS_DT_DV_TT_BH_XS,Tỷ lệ chênh lệch lũy kế Doanh thu dịch vụ Thu hộ Xổ số quý 2 năm 2024 và quý trước đó,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TRANSPORTATION,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng tháng bao nhiêu so với cùng kỳ năm trước",Select SPMY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_HEALTHCARE,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ y tế tăng trưởng bao nhiêu phần trăm so với ngày 20/05/2024,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_CREDIT_SCORE,Doanh thu dịch vụ Chấm điểm khách hàng từ đầu năm tính đến hiện tại,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE' and PARTITION_DATE >= '20250101'
CT_VDS_DT_DV_TT,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thanh toán tăng trưởng tháng bao nhiêu % so với 20/06/2023",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,Doanh thu dịch vụ SMS Banking lũy kế tháng đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_SMS_BANKING'"
CT_VDS_DT_SMS_BANKING,Doanh thu dịch vụ SMS Banking năm 2024 tăng trưởng bao nhiêu so với năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_TRANSPORTATION,Năm 2024 Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng bao nhiêu so với năm 2023,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_HEALTHCARE,Tính đến ngày 20/06/2025 Doanh thu dịch vụ Thu hộ y tế tăng trưởng bao nhiêu so với cùng kì năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TT_TH,Năm 2024 Doanh thu dịch vụ Thu hộ tăng trưởng bao nhiêu so với năm 2023,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_TRAVELLING,Doanh thu dịch vụ Thu hộ Du lịch lũy kế tháng đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING'"
CT_VDS_DT_DV_TT_TH,Tỷ lệ chênh lệch lũy kế năm Doanh thu dịch vụ Thu hộ tính đến ngày 20/06/2024,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TRANSPORTATION,Tình hình Doanh thu dịch vụ Thu hộ giao thông  của VDS tháng 06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION'"
CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS,Ngày có Doanh thu dịch vụ Thu hộ Vietlott SMS lớn nhất trong tháng 06/2024,"Select PARTITION_DATE, DAY_VALUE,SPD_PERCENT, SPDM_PERCENT From (Select PARTITION_DATE,  DAY_VALUE, SPD_PERCENT, SPDM_PERCENT, row_number() over (order by DAY_VALUE DESC) as RANK From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS'and PARTITION_DATE >= '20240601' and PARTITION_DATE < '20240701') AS SUB where RANK = 1"
CT_VDS_DT_DV_TH_ELECTRIC,Tỷ lệ chênh lệch Doanh thu dịch vụ Thu hộ điện giữa ngày 20/06/2024 và ngày trước đó,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_WATER,Doanh thu dịch vụ Thu hộ nước trong ngày 20/06/2024 là bao nhiêu,"SELECT DAY_VALUE, SPD_PERCENT, SPDM_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER'"
CT_VDS_DT_DV_TH_HEALTHCARE,Doanh thu dịch vụ Thu hộ y tế từ đầu năm tính đến hiện tại,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE >= '20250101'
CT_VDS_DT_DV_TT_TH,Top 5 tháng có Doanh thu dịch vụ Thu hộ lớn nhất trong năm 2024,"SELECT SUBSTR(PARTITION_DATE, 1, 6), MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT FROM (SELECT PARTITION_DATE, MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT, ROW_NUMBER() OVER (ORDER BY MONTH_VALUE DESC) AS rank FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' AND PARTITION_DATE =DATE_FORMAT(LAST_DAY(STR_TO_DATE(PARTITION_DATE, '%Y%m%d')), '%Y%m%d') AND PARTITION_DATE LIKE '2024%') AS ranked WHERE rank <= 5;"
CT_VDS_DT_DV_TH_ELECTRIC,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ điện tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TT_TH,Tính đến ngày 20/06/2025 Doanh thu dịch vụ Thu hộ tăng trưởng bao nhiêu so với cùng kì năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_WATER,"Doanh thu dịch vụ Thu hộ nước các ngày 10/06/2024, 11/06/2024, 12/06/2024, 20/06/2024","Select PARTITION_DATE, DAY_VALUE, SPD_PERCENT, SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' and PARTITION_DATE in ('20240610', '20240611', '20240612', '20240620')"
CT_VDS_DT_DV_TT_TH,Doanh thu dịch vụ Thu hộ năm 2023,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20231231'"
CT_VDS_DT_DV_TH_ECOMMERCE,Tỷ lệ chênh lệch Doanh thu dịch vụ Thu hộ Thương mại điện tử giữa ngày 20/06/2024 và ngày cùng kỳ tháng trước,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,Doanh thu dịch vụ SMS Banking tháng 06/2024 của VDS,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_SMS_BANKING'"
