Service_pk,Definition,Definition_long
CT_VDS_DT_DV_TT_BH_XS,Mã chỉ tiêu CT_VDS_DT_DV_TT_BH_XS được định nghĩa là Doanh thu dịch vụ Thu hộ Xổ số,"Doanh thu Thu hộ xổ số bao gồm: doanh thu Thu hộ xổ số thu hộ, doanh thu Thu hộ Vietlott SMS"
CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS,Mã chỉ tiêu CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS được định nghĩa là Doanh thu dịch vụ Thu hộ Vietlott SMS,"Doanh thu Thu hộ Vietlott SMS bao gồm: doanh thu Thu hộ Vietlot SMS kênh Viettel Money, doanh thu Thu hộ Vietlot SMS kênh đối tác"
CT_VDS_DT_DV_TH_ELECTRIC,Mã chỉ tiêu CT_VDS_DT_DV_TH_ELECTRIC được định nghĩa là Doanh thu dịch vụ Thu hộ điện,"Doanh thu Thu hộ điện bao gồm: doanh thu Thu hộ điện kênh online (Viettel Money & Bankplus), doanh thu Thu hộ điện kênh quầy Viettel, doanh thu Thu hộ kênh quầy ngoài"
CT_VDS_DT_DV_TH_WATER,Mã chỉ tiêu CT_VDS_DT_DV_TH_WATER được định nghĩa là Doanh thu dịch vụ Thu hộ nước,"Doanh thu Thu hộ nước bao gồm: doanh thu Thu hộ nước kênh online (Viettel Money & Bankplus), doanh thu Thu hộ nước kênh quầy Viettel, doanh thu Thu hộ kênh quầy ngoài"
CT_VDS_DT_DV_TH_TRANSPORTATION,Mã chỉ tiêu CT_VDS_DT_DV_TH_TRANSPORTATION được định nghĩa là Doanh thu dịch vụ Thu hộ giao thông ,"Doanh thu Thu hộ giao thông bao gồm: doanh thu Thu hộ giao thông kênh online (Viettel Money và Bankplus) , doanh thu Thu hộ giao thông kênh quầy Viettel, doanh thu Thu hộ kênh quầy ngoài"
CT_VDS_DT_DV_TH_TRAVELLING,Mã chỉ tiêu CT_VDS_DT_DV_TH_TRAVELLING được định nghĩa là Doanh thu dịch vụ Thu hộ Du lịch,"Doanh thu Thu hộ du lịch bao gồm: doanh thu Thu hộ du lịch kênh online (Viette Money và Bankplus), doanh thu Thu hộ du lịch kênh quầy Viettel, doanh thu Thu hộ du lịch kênh quầy ngoài"
CT_VDS_DT_DV_TH_EDUCATION,Mã chỉ tiêu CT_VDS_DT_DV_TH_EDUCATION được định nghĩa là Doanh thu dịch vụ Thu hộ Giáo dục,"Doanh thu Thu hộ giáo dục bao gồm: doanh thu Thu hộ giáo dục kênh online (Viettel Money và Bankplus), doanh thu Thu hộ giáo dục kênh quầy Viettel, doanh thu Thu hộ giáo dục kênh quầy ngoài"
CT_VDS_DT_DV_TH_HEALTHCARE,Mã chỉ tiêu CT_VDS_DT_DV_TH_HEALTHCARE được định nghĩa là Doanh thu dịch vụ Thu hộ y tế,"Doanh thu Thu hộ y tế bao gồm: doanh thu Thu hộ y tế kênh online (Viettel Money và Bankplus), doanh thu Thu hộ y tế kênh quầy Viettel, doanh thu Thu hộ kênh quầy ngoài"
CT_VDS_DT_DV_TH_ECOMMERCE,Mã chỉ tiêu CT_VDS_DT_DV_TH_ECOMMERCE được định nghĩa là Doanh thu dịch vụ Thu hộ Thương mại điện tử,"Doanh thu thương mại điện tử bao gồm: doanh thu thương mại điện tử kênh online (Viettel Money và Bankplus), doanh thu thương mại điện tử kênh quầy Viettel, doanh thu thương mại điện tử kênh quầy ngoài"
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Mã chỉ tiêu CT_VDS_DT_DV_TH_PUBLIC_SERVICES được định nghĩa là Doanh thu dịch vụ Thu hộ Dịch vụ công,"Doanh thu Thu hộ dịch vụ công bao gồm: doanh thu Thu hộ dịch vụ công kênh online (Viettel Money và Bankplus), doanh thu Thu hộ dịch vụ công kênh quầy Viettel, doanh thu Thu hộ dịch vụ công kênh quầy ngoài"
